YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,3,6,WN,511,N936WN,LAX,LAS,815.0,905.0,50.0,9.0,914.0,65.0,55.0,39.0,236.0,953.0,7.0,920.0,1000.0,40.0,0.0,0.0,,0.0,0.0,40.0,0.0,0.0
2015,1,27,2,OO,4504,N810SK,LAX,SAN,1535.0,1531.0,-4.0,14.0,1545.0,51.0,45.0,28.0,109.0,1613.0,3.0,1626.0,1616.0,-10.0,0.0,0.0,,,,,,
2015,1,20,2,EV,4389,N12540,MEM,ORD,540.0,531.0,-9.0,10.0,541.0,118.0,106.0,87.0,491.0,708.0,9.0,738.0,717.0,-21.0,0.0,0.0,,,,,,
2015,2,16,1,DL,2508,N987AT,ICT,ATL,1709.0,1706.0,-3.0,8.0,1714.0,122.0,123.0,90.0,782.0,1944.0,25.0,2011.0,2009.0,-2.0,0.0,0.0,,,,,,
2015,2,15,7,F9,907,,TTN,RDU,640.0,,,,,89.0,,,373.0,,,809.0,,,0.0,1.0,B,,,,,
2015,1,8,4,DL,821,N125DL,MSP,LAX,1740.0,1750.0,10.0,45.0,1835.0,250.0,250.0,194.0,1535.0,1949.0,11.0,1950.0,2000.0,10.0,0.0,0.0,,,,,,
2015,1,19,1,US,1841,N556UW,DEN,CLT,815.0,810.0,-5.0,23.0,833.0,192.0,191.0,152.0,1337.0,1305.0,16.0,1327.0,1321.0,-6.0,0.0,0.0,,,,,,
2015,2,18,3,UA,1155,N12225,LAS,ORD,1437.0,1449.0,12.0,21.0,1510.0,213.0,221.0,177.0,1514.0,2007.0,23.0,2010.0,2030.0,20.0,0.0,0.0,,8.0,0.0,7.0,5.0,0.0
2015,1,10,6,WN,4308,N427WN,OKC,DAL,810.0,804.0,-6.0,7.0,811.0,60.0,48.0,32.0,181.0,843.0,9.0,910.0,852.0,-18.0,0.0,0.0,,,,,,
2015,1,6,2,OO,5435,N507CA,PSC,SFO,530.0,528.0,-2.0,10.0,538.0,126.0,110.0,96.0,620.0,714.0,4.0,736.0,718.0,-18.0,0.0,0.0,,,,,,
2015,2,27,5,DL,2321,N379DA,MSP,LAX,1931.0,2013.0,42.0,13.0,2026.0,249.0,231.0,208.0,1535.0,2154.0,10.0,2140.0,2204.0,24.0,0.0,0.0,,0.0,0.0,24.0,0.0,0.0
2015,2,23,1,EV,5797,N10575,EWR,RIC,1234.0,1307.0,33.0,17.0,1324.0,82.0,82.0,59.0,277.0,1423.0,6.0,1356.0,1429.0,33.0,0.0,0.0,,0.0,0.0,31.0,2.0,0.0
2015,2,18,3,US,1810,N547UW,CLT,TPA,1440.0,1439.0,-1.0,11.0,1450.0,103.0,102.0,87.0,507.0,1617.0,4.0,1623.0,1621.0,-2.0,0.0,0.0,,,,,,
2015,1,16,5,DL,1405,N684DA,DTW,MCO,1940.0,1940.0,0.0,17.0,1957.0,167.0,145.0,117.0,957.0,2154.0,11.0,2227.0,2205.0,-22.0,0.0,0.0,,,,,,
2015,1,4,7,OO,6526,N758SK,SFO,LAS,911.0,902.0,-9.0,30.0,932.0,96.0,105.0,64.0,414.0,1036.0,11.0,1047.0,1047.0,0.0,0.0,0.0,,,,,,
2015,2,27,5,DL,1390,N985AT,AVL,ATL,1420.0,1418.0,-2.0,10.0,1428.0,70.0,61.0,34.0,164.0,1502.0,17.0,1530.0,1519.0,-11.0,0.0,0.0,,,,,,
2015,2,25,3,NK,810,N530NK,MSY,DTW,1120.0,1116.0,-4.0,9.0,1125.0,137.0,138.0,120.0,926.0,1425.0,9.0,1437.0,1434.0,-3.0,0.0,0.0,,,,,,
2015,1,10,6,F9,122,N905FR,DEN,DFW,1455.0,1449.0,-6.0,12.0,1501.0,108.0,111.0,92.0,641.0,1733.0,7.0,1743.0,1740.0,-3.0,0.0,0.0,,,,,,
2015,2,22,7,WN,2295,N453WN,DEN,BWI,1925.0,2016.0,51.0,35.0,2051.0,195.0,193.0,154.0,1491.0,125.0,4.0,40.0,129.0,49.0,0.0,0.0,,0.0,0.0,30.0,19.0,0.0
2015,2,6,5,DL,1576,N530US,FLL,DTW,1558.0,1609.0,11.0,14.0,1623.0,187.0,180.0,161.0,1127.0,1904.0,5.0,1905.0,1909.0,4.0,0.0,0.0,,,,,,
2015,2,28,6,WN,3104,N644SW,MCO,CMH,1415.0,1433.0,18.0,17.0,1450.0,130.0,142.0,114.0,802.0,1644.0,11.0,1625.0,1655.0,30.0,0.0,0.0,,12.0,0.0,0.0,18.0,0.0
2015,1,28,3,MQ,3443,N659MQ,SPI,DFW,701.0,,,,,139.0,,,630.0,,,920.0,,,0.0,1.0,A,,,,,
2015,2,28,6,NK,921,N612NK,LGA,MYR,1140.0,1135.0,-5.0,13.0,1148.0,114.0,113.0,92.0,563.0,1320.0,8.0,1334.0,1328.0,-6.0,0.0,0.0,,,,,,
2015,1,21,3,WN,4386,N452WN,OAK,PDX,1900.0,1859.0,-1.0,12.0,1911.0,100.0,95.0,80.0,543.0,2031.0,3.0,2040.0,2034.0,-6.0,0.0,0.0,,,,,,
2015,1,23,5,UA,740,N493UA,DEN,MSY,1001.0,956.0,-5.0,14.0,1010.0,156.0,152.0,133.0,1062.0,1323.0,5.0,1337.0,1328.0,-9.0,0.0,0.0,,,,,,
2015,2,20,5,WN,3771,N791SW,TPA,MSY,715.0,827.0,72.0,16.0,843.0,105.0,107.0,88.0,488.0,911.0,3.0,800.0,914.0,74.0,0.0,0.0,,2.0,0.0,72.0,0.0,0.0
2015,2,16,1,WN,993,N620SW,MCO,BWI,1510.0,1527.0,17.0,9.0,1536.0,125.0,129.0,111.0,787.0,1727.0,9.0,1715.0,1736.0,21.0,0.0,0.0,,4.0,0.0,0.0,17.0,0.0
2015,1,13,2,OO,6459,N730SK,DAY,ORD,1515.0,1516.0,1.0,14.0,1530.0,75.0,75.0,41.0,240.0,1511.0,20.0,1530.0,1531.0,1.0,0.0,0.0,,,,,,
2015,2,1,7,WN,3415,N8616C,OMA,DEN,1640.0,1856.0,136.0,25.0,1921.0,100.0,93.0,67.0,472.0,1928.0,1.0,1720.0,1929.0,129.0,0.0,0.0,,0.0,0.0,129.0,0.0,0.0
2015,2,17,2,OO,5616,N952SW,HLN,DEN,710.0,704.0,-6.0,24.0,728.0,122.0,107.0,76.0,594.0,844.0,7.0,912.0,851.0,-21.0,0.0,0.0,,,,,,
